;Properties;ITEM;ITEM TYPOLOGY;;;
LIGHTNING ELEM;Lightning skills deal 15-30% more damage;The Eye of the Storm (Monk);Spirit Stone;A;;
LIGHTNING ELEM;Lightning skills deal 10-15% more damage;Thundergod's Vigor;Belt;A;;
LIGHTNING ELEM;Lightning skills deal 15-20% more damage;Uskang;Bow;W;;
LIGHTNING ELEM;Lightning skills deal 15-25% more damage;Won Khim Lau (Monk);Fist Weapon;W;;
LIGHTNING RES;+150-200 Lightning Resistance;Thundergod's Vigor;Belt;A;;
LIGHTNING X-Y;(1177-1439)-(1410-1788) Lightning Damage;Bovine Bardiche;Polearm;W;;
LIGHTNING X-Y;(981-1199)-(1175-1490) Lightning Damage;Darklight (Crusader);Flail;W;;
LIGHTNING X-Y;(981-1199)-(1175-1490) Lightning Damage;Fulminator;Sword;W;;
LIGHTNING X-Y;(981-1199)-(1175-1490) Lightning Damage;Odyn Son;Mace;W;;
LIGHTNING X-Y;(1177-1439)-(1410-1788) Lightning Damage;Schaefer's Hammer;Mace 2H;W;;
LIGHTNING X-Y;(981-1199)-(1175-1490) Lightning Damage;Scrimshaw;Spear;W;;
LIGHTNING X-Y;(981-1199)-(1175-1490) Lightning Damage;Shenlong's Fist of Legend (Monk);Fist Weapon;W;;
LIGHTNING X-Y;(981-1199)-(1175-1490) Lightning Damage;Shenlong's Relentless Assault (Monk);Fist Weapon;W;;
LIGHTNING X-Y;(1177-1439)-(1410-1788) Lightning Damage;The Broken Staff;Staff;W;;
LIGHTNING X-Y;(981-1199)-(1175-1490) Lightning Damage;Thunderfury, Blessed Blade of the Windseeker;Sword;W;;
LIGHTNING X-Y;(981-1199)-(1175-1490) Lightning Damage;Uskang;Bow;W;;
LIGHTNING X-Y;(981-1199)-(1175-1490) Lightning Damage;Won Khim Lau (Monk);Fist Weapon;W;;
LOH;BONUS Increases Life per Hit by 15000–20000 for 5 seconds;Bottomless Potion of the Leech;Legendary Potion;A;;
LOH;+6190-7370  Life per Hit;Gloves of Worship (Horadric Cache);Gloves;A;;
LOH;+12.380-14.742  Life per Hit;Logan's Claw (Monk);Fist Weapon;W;;
LOH;+6190-7370  Life per Hit;Ring of Royal Grandeur (Horadric Cache);Ring;A;;
LPK;BONUS Heal for 3–4% of your missing Life when you kill an Undead enemy;Arthef's Spark of Life;Mace 2H;W;;
LPK;BONUS Increases Life per Kill by 40000–50000 for 5 seconds;Bottomless Potion of Mutilation;Legendary Potion;A;;
LPK;+9.142-13.371 Life after Each Kill;Heart Slaughter;Polearm;W;;
LPK;+9.142-13.371 Life after Each Kill;Messerschmidt's Reaver;Axe 2H;W;;
LPK;+6428-8914 Life after Each Kill;Slave Bonds;Bracers;A;;
LPK;BONUS When you kill an enemy, it explodes for 450–600% of your Life per Kill as damage to all enemies within 20 yards. You no longer benefit from your Life per Kill;Soulsmasher (Horadric Cache);Mace 2H;W;;
LPK;+9.142-13.371 Life after Each Kill;Soulsmasher (Horadric Cache);Mace 2H;W;;
LPK;+9.142-13.371 Life after Each Kill;Wrath of the Bone King;Mace 2H;W;;
LPK;+9.142-13.371 Life after Each Kill;Corrupted Ashbringer;Sword 2H;W;;
MAGIC;+3 Random Magic Properties;Aether Walker (Wizard) (Season 1);Wand;W;;
MAGIC;+2 Random Magic Properties;Ageless Might (Barbarian);Mighty Belt;A;;
MAGIC;+3 Random Magic Properties;Ahavarion, Spear of Lycander;Staff;W;;
MAGIC;+3 Random Magic Properties;Akanesh, the Herald of Righteousness;Spear;W;;
MAGIC;+3 Random Magic Properties;Ambo's Pride (Barbarian);Mighty Weapon;W;;
MAGIC;+3 Random Magic Properties;Ancestors' Grace;Amulet;A;;
MAGIC;+4 Random Magic Properties;Ancient Parthan Defenders;Bracers;A;;
MAGIC;+1 Random Magic Property;Andariel's Visage;Helm;A;;
MAGIC;+3 Random Magic Properties;Anessazi Edge (Witch Doctor);Ceremonial Knife;W;;
MAGIC;+4 Random Magic Properties;Angel Hair Braid;Belt;A;;
MAGIC;+5 Random Magic Properties;Arcane Barb;Crossbow;W;;
MAGIC;+4 Random Magic Properties;Archfiend Arrows (Demon Hunter);Quiver;A;;
MAGIC;+4 Random Magic Properties;Archmage's Vicalyke (Wizard);Wizard Hat;A;;
MAGIC;+4 Random Magic Properties;Aquila Cuirass;Chest Armor;A;;
MAGIC;+3 Random Magic Properties;Arreat's Law;Spear;W;;
MAGIC;+3 Random Magic Properties;Arthef's Spark of Life;Mace 2H;W;;
MAGIC;+6 Random Magic Properties;Asheara's Custodian;Shoulders;A;;
MAGIC;+6 Random Magic Properties;Asheara's Finders;Boots;A;;
MAGIC;+6 Random Magic Properties;Asheara's Pace;Pants;A;;
MAGIC;+6 Random Magic Properties;Asheara's Ward;Gloves;A;;
MAGIC;+5 Random Magic Properties;Atrophy (Wizard);Wand;W;;
MAGIC;+6 Random Magic Properties;Aughild's Power;Shoulders;A;;
MAGIC;+4 Random Magic Properties;Armor of the Kind Regent;Chest Armor;A;;
MAGIC;+6 Random Magic Properties;Aughild's Search;Bracers;A;;
MAGIC;+5 Random Magic Properties;Aughild's Spike;Helm;A;;
MAGIC;+3 Random Magic Properties;Autumn's Call;Staff;W;;
MAGIC;+2 Random Magic Properties;Avarice Band (Horadric Cache);Ring;A;;
MAGIC;+2 Random Magic Properties;Azurewrath;Sword;W;;
MAGIC;+4 Random Magic Properties;Bakkan Caster;Crossbow;W;;
MAGIC;+4 Random Magic Properties;Balance (Monk);Daibo;W;;
MAGIC;+3 Random Magic Properties;Balefire Caster (Demon Hunter);Hand Crossbow;W;;
MAGIC;+3 Random Magic Properties;Baleful Remnant (Crusader);Flail 2H;W;;
MAGIC;+4 Random Magic Properties;Band of Hollow Whispers;Ring;A;;
MAGIC;+3 Random Magic Properties;Band of the Rue Chambers;Ring;A;;
MAGIC;+4 Random Magic Properties;Band of Untold Secrets;Ring;A;;
MAGIC;+2 Random Magic Properties;Bastion's Revered (Barbarian);Mighty Weapon 2H;W;;
MAGIC;+3 Random Magic Properties;Beckon Sail (Demon Hunter);Cloak;A;;
MAGIC;+4 Random Magic Properties;Bezoar Stone (Monk);Spirit Stone;A;;
MAGIC;+3 Random Magic Properties;Blackfeather (Demon Hunter);Cloak;A;;
MAGIC;+2 Random Magic Properties;Blackguard;Sword 2H;W;;
MAGIC;+3 Random Magic Properties;Blackhand Key (Wizard);Wand;W;;
MAGIC;+4 Random Magic Properties;Blackthorne's Duncraig Cross;Amulet;A;;
MAGIC;+4 Random Magic Properties;Blackthorne's Jousting Mail;Pants;A;;
MAGIC;+3 Random Magic Properties;Blackthorne's Notched Belt;Belt;A;;
MAGIC;+4 Random Magic Properties;Blackthorne's Spurs;Boots;A;;
MAGIC;+6 Random Magic Properties;Aughild's Rule;Chest Armor;A;;
MAGIC;+3 Random Magic Properties;Blade of Prophecy;Sword 2H;W;;
MAGIC;+3 Random Magic Properties;Blade of the Warlord (Barbarian);Mighty Weapon;W;;
MAGIC;+4 Random Magic Properties;Blind Faith;Helm;A;;
MAGIC;+5 Random Magic Properties;Blitzbolter (Demon Hunter);Hand Crossbow;W;;
MAGIC;+3 Random Magic Properties;Blood-Magic Edge;Dagger;W;;
MAGIC;+5 Random Magic Properties;Board Walkers;Boots;A;;
MAGIC;+4 Random Magic Properties;Boj Anglers;Boots;A;;
MAGIC;+3 Random Magic Properties;Bombadier's Rucksack (Demon Hunter);Quiver;A;;
MAGIC;+2 Random Magic Properties;Boots of Disregard (Horadric Cache);Boots;A;;
MAGIC;+4 Random Magic Properties;Blackthorne's Surcoat;Chest Armor;A;;
MAGIC;+5 Random Magic Properties;Born's Furious Wrath;Sword;W;;
MAGIC;+6 Random Magic Properties;Born's Privilege;Shoulders;A;;
MAGIC;+3 Random Magic Properties;Bovine Bardiche;Polearm;W;;
MAGIC;+6 Random Magic Properties;Born's Frozen Soul;Chest Armor;A;;
MAGIC;+3 Random Magic Properties;Broken Crown;Helm;A;;
MAGIC;+3 Random Magic Properties;Broken Promises;Ring;A;;
MAGIC;+3 Random Magic Properties;Bul-Kathos's Solemn Vow (Barbarian);Mighty Weapon;W;;
MAGIC;+3 Random Magic Properties;Bul-Kathos's Warrior Blood (Barbarian);Mighty Weapon;W;;
MAGIC;+3 Random Magic Properties;Bul-Kathos's Wedding Band;Ring;A;;
MAGIC;+4 Random Magic Properties;Burden of the Invoker;Shoulders;A;;
MAGIC;+2 Random Magic Properties;Buriza-Do Kyanon;Crossbow;W;;
MAGIC;+2 Random Magic Properties;Burst of Wrath (Horadric Cache);Axe 2H;W;;
MAGIC;+4 Random Magic Properties;Butcher's Carver;Axe 2H;W;;
MAGIC;+6 Random Magic Properties;Cain's Habit;Pants;A;;
MAGIC;+5 Random Magic Properties;Cain's Insight;Helm;A;;
MAGIC;+6 Random Magic Properties;Cain's Scrivener;Gloves;A;;
MAGIC;+6 Random Magic Properties;Cain's Travelers;Boots;A;;
MAGIC;+3 Random Magic Properties;Calamity (Demon Hunter);Hand Crossbow;W;;
MAGIC;+3 Random Magic Properties;Cam's Rebuttal;Sword 2H;W;;
MAGIC;+4 Random Magic Properties;Cape of the Dark Night (Demon Hunter);Cloak;A;;
MAGIC;+6 Random Magic Properties;Captain Crimson's Silk Girdle;Belt;A;;
MAGIC;+6 Random Magic Properties;Captain Crimson's Thrust;Pants;A;;
MAGIC;+6 Random Magic Properties;Captain Crimson's Waders;Boots;A;;
MAGIC;+3 Random Magic Properties;Carnevil (Witch Doctor);Voodoo Mask;A;;
MAGIC;+4 Random Magic Properties;Breastplate of Akkhan (Crusader);Chest Armor;A;;
MAGIC;+3 Random Magic Properties;Chanon Bolter;Crossbow;W;;
MAGIC;+2 Random Magic Properties;Chantodo's Force (Wizard);Source;A;;
MAGIC;+4 Random Magic Properties;Chantodo's Will (Wizard);Wand;W;;
MAGIC;+4 Random Magic Properties;Chilanik's Chain (Barbarian);Mighty Belt;A;;
MAGIC;+4 Random Magic Properties;Cinder Switch;Axe 2H;W;;
MAGIC;+3 Random Magic Properties;Chaingmail;Chest Armor;A;;
MAGIC;+2 Random Magic Properties;Cloak of Deception (Demon Hunter) (Horadric Cache);Cloak;A;;
MAGIC;+3 Random Magic Properties;Cluckeye;Bow;W;;
MAGIC;+2 Random Magic Properties;Cord of the Sherma;Belt;A;;
MAGIC;+6 Random Magic Properties;Corruption;Shoulders;A;;
MAGIC;+9 Random Magic Properties;Cosmic Strand (Wizard);Source;A;;
MAGIC;+3 Random Magic Properties;Countess Julia's Cameo;Amulet;A;;
MAGIC;+3 Random Magic Properties;Coven's Criterion (Horadric Cache);Shield;A;;
MAGIC;+3 Random Magic Properties;Crown of the Invoker;Helm;A;;
MAGIC;+4 Random Magic Properties;Crushbane;Mace 2H;W;;
MAGIC;+2 Random Magic Properties;Crystal Fist (Monk);Fist Weapon;W;;
MAGIC;+4 Random Magic Properties;Cuisses of Akkhan (Crusader);Pants;A;;
MAGIC;+3 Random Magic Properties;Custerian Wristguards;Bracers;A;;
MAGIC;+3 Random Magic Properties;Danetta's Revenge (Demon Hunter);Hand Crossbow;W;;
MAGIC;+3 Random Magic Properties;Danetta's Spite (Demon Hunter);Hand Crossbow;W;;
MAGIC;+4 Random Magic Properties;Dark Mage's Shade (Wizard);Wizard Hat;A;;
MAGIC;+3 Random Magic Properties;Darklight (Crusader);Flail;W;;
MAGIC;+3 Random Magic Properties;Dawn (Demon Hunter);Hand Crossbow;W;;
MAGIC;+3 Random Magic Properties;Dead Man's Legacy (Demon Hunter);Quiver;A;;
MAGIC;+1 Random Magic Property;Deadly Rebirth (Witch Doctor);Ceremonial Knife;W;;
MAGIC;+4 Random Magic Properties;Death Watch Mantle;Shoulders;A;;
MAGIC;+3 Random Magic Properties;Death's Bargain (Horadric Cache);Pants;A;;
MAGIC;+3 Random Magic Properties;Deathseer's Cowl;Helm;A;;
MAGIC;+3 Random Magic Properties;Defender of Westmarch;Shield;A;;
MAGIC;+5 Random Magic Properties;Demon Claw (Monk);Fist Weapon;W;;
MAGIC;+3 Random Magic Properties;Demon Machine;Crossbow;W;;
MAGIC;+6 Random Magic Properties;Demon's Aileron;Shoulders;A;;
MAGIC;+6 Random Magic Properties;Demon's Animus;Bracers;A;;
MAGIC;+3 Random Magic Properties;Cindercoat;Chest Armor;A;;
MAGIC;+6 Random Magic Properties;Demon's Plate;Pants;A;;
MAGIC;+6 Random Magic Properties;Demon's Restraint;Belt;A;;
MAGIC;+4 Random Magic Properties;Denial;Shield;A;;
MAGIC;+3 Random Magic Properties;Depth Diggers;Pants;A;;
MAGIC;+4 Random Magic Properties;Devastator;Mace;W;;
MAGIC;+2 Random Magic Properties;Devil Tongue;Sword;W;;
MAGIC;+3 Random Magic Properties;Doombringer;Sword;W;;
MAGIC;+3 Random Magic Properties;Dovu Energy Trap;Amulet;A;;
MAGIC;+3 Random Magic Properties;Dread Iron (Barbarian);Mighty Belt;A;;
MAGIC;+4 Random Magic Properties;Eberli Charo;Shield;A;;
MAGIC;+1 Random Magic Property;Echoing Fury;Mace;W;;
MAGIC;+4 Random Magic Properties;Eight-Demon Boots (Monk);Boots;A;;
MAGIC;+4 Random Magic Properties;Emimei's Duffel (Demon Hunter);Quiver;A;;
MAGIC;+3 Random Magic Properties;Empyrean Messenger;Spear;W;;
MAGIC;+4 Random Magic Properties;Enchanting Favor;Templar Relic;A;;
MAGIC;+3 Random Magic Properties;Envious Blade (Horadric Cache);Dagger;W;;
MAGIC;+4 Random Magic Properties;Erlang Shen (Monk);Spirit Stone;A;;
MAGIC;+4 Random Magic Properties;Eternal Union;Ring;A;;
MAGIC;+3 Random Magic Properties;Etrayu;Bow;W;;
MAGIC;+4 Random Magic Properties;Exarian;Sword;W;;
MAGIC;+4 Random Magic Properties;Eye of Etlich;Amulet;A;;
MAGIC;+3 Random Magic Properties;Eye of Peshkow (Monk);Spirit Stone;A;;
MAGIC;+4 Random Magic Properties;Eyes of Earth;Helm;A;;
MAGIC;+3 Random Magic Properties;Faithful Memory;Sword 2H;W;;
MAGIC;+3 Random Magic Properties;Fate of the Fell (Crusader);Flail 2H;W;;
MAGIC;+3 Random Magic Properties;Fire Walkers;Boots;A;;
MAGIC;+6 Random Magic Properties;Demon's Marrow;Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Firebird's Down (Wizard);Pants;A;;
MAGIC;+4 Random Magic Properties;Firebird's Eye (Wizard);Source;A;;
MAGIC;+4 Random Magic Properties;Firebird's Pinions (Wizard);Shoulders;A;;
MAGIC;+4 Random Magic Properties;Firebird's Plume (Wizard);Helm;A;;
MAGIC;+4 Random Magic Properties;Firebird's Talons (Wizard);Gloves;A;;
MAGIC;+4 Random Magic Properties;Firebird's Tarsi (Wizard);Boots;A;;
MAGIC;+4 Random Magic Properties;Fists of Thunder (Monk);Gloves;A;;
MAGIC;+2 Random Magic Properties;Fjord Cutter (Barbarian);Mighty Weapon;W;;
MAGIC;+5 Random Magic Properties;Fleeting Strap;Belt;A;;
MAGIC;+4 Random Magic Properties;Flesh Tearer;Axe;W;;
MAGIC;+1 Random Magic Property;Fleshrake (Monk);Fist Weapon;W;;
MAGIC;+4 Random Magic Properties;Fletcher's Pride (Demon Hunter);Quiver;A;;
MAGIC;+3 Random Magic Properties;Flying Dragon (Monk);Daibo;W;;
MAGIC;+4 Random Magic Properties;Focus;Ring;A;;
MAGIC;+3 Random Magic Properties;Fragment of Destiny (Wizard);Wand;W;;
MAGIC;+4 Random Magic Properties;Freeze of Deflection;Shield;A;;
MAGIC;+3 Random Magic Properties;Frostburn;Gloves;A;;
MAGIC;+4 Random Magic Properties;Frydehr’s Wrath (Crusader) (Season 1);Crusader Shield;A;;
MAGIC;+3 Random Magic Properties;Fulminator;Sword;W;;
MAGIC;+3 Random Magic Properties;Fury of the Vanished Peak (Barbarian);Mighty Weapon 2H;W;;
MAGIC;+4 Random Magic Properties;Gauntlets of Akkhan (Crusader);Gloves;A;;
MAGIC;+3 Random Magic Properties;Gazing Demise (Witch Doctor);Mojo;A;;
MAGIC;+4 Random Magic Properties;Genzaniku;Axe;W;;
MAGIC;+2 Random Magic Properties;Gesture of Orpheus (Wizard);Wand;W;;
MAGIC;+3 Random Magic Properties;Gift of Silaria;Sword;W;;
MAGIC;+3 Random Magic Properties;Girdle of Giants (Barbarian);Mighty Belt;A;;
MAGIC;+3 Random Magic Properties;Gladiator Gauntlets;Gloves;A;;
MAGIC;+2 Random Magic Properties;Gloves of Worship (Horadric Cache);Gloves;A;;
MAGIC;+3 Random Magic Properties;Golden Flense (Crusader);Flail 2H;W;;
MAGIC;+2 Random Magic Properties;Golden Gorget of Leoric (Horadric Cache);Amulet;A;;
MAGIC;+6 Random Magic Properties;Golden Scourge (Crusader);Flail;W;;
MAGIC;+4 Random Magic Properties;Firebird's Breast (Wizard);Chest Armor;A;;
MAGIC;+3 Random Magic Properties;Goldwrap;Belt;A;;
MAGIC;+5 Random Magic Properties;Griswold's Perfection;Sword;W;;
MAGIC;+6 Random Magic Properties;Guardian's Aversion;Bracers;A;;
MAGIC;+6 Random Magic Properties;Guardian's Case;Belt;A;;
MAGIC;+5 Random Magic Properties;Guardian's Gaze;Helm;A;;
MAGIC;+3 Random Magic Properties;Gungdo Gear (Season 2);Bracers;A;;
MAGIC;+3 Random Magic Properties;Gyana Na Kashu (Monk);Spirit Stone;A;;
MAGIC;+3 Random Magic Properties;Gyrfalcon's Foote (Crusader);Flail;W;;
MAGIC;+3 Random Magic Properties;Hack;Axe;W;;
MAGIC;+3 Random Magic Properties;Halcyon's Amulet;Amulet;A;;
MAGIC;+5 Random Magic Properties;Hallowed Barricade;Shield;A;;
MAGIC;+5 Random Magic Properties;Hallowed Baton (Wizard);Wand;W;;
MAGIC;+5 Random Magic Properties;Hallowed Breach;Axe;W;;
MAGIC;+4 Random Magic Properties;Hallowed Bulwark (Crusader);Crusader Shield;A;;
MAGIC;+5 Random Magic Properties;Hallowed Condemnation (Demon Hunter);Hand Crossbow;W;;
MAGIC;+5 Random Magic Properties;Hallowed Hold (Monk);Fist Weapon;W;;
MAGIC;+5 Random Magic Properties;Hallowed Nemesis (Barbarian);Mighty Weapon;W;;
MAGIC;+5 Random Magic Properties;Hallowed Sufferance (Witch Doctor);Ceremonial Knife;W;;
MAGIC;+3 Random Magic Properties;Hammer Jammers;Pants;A;;
MAGIC;+4 Random Magic Properties;Hand of the Prophet;Enchantress Focus;A;;
MAGIC;+3 Random Magic Properties;Harrington Waistguard;Belt;A;;
MAGIC;+3 Random Magic Properties;Haunt of Vaxo;Amulet;A;;
MAGIC;+2 Random Magic Properties;Goldskin;Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Heart of Iron;Chest Armor;A;;
MAGIC;+2 Random Magic Properties;Heart Slaughter;Polearm;W;;
MAGIC;+3 Random Magic Properties;Hellcat Waistguard;Belt;A;;
MAGIC;+4 Random Magic Properties;Hellfire Amulet (Dexterity);Amulet;A;;
MAGIC;+4 Random Magic Properties;Hellfire Amulet (Intelligence);Amulet;A;;
MAGIC;+4 Random Magic Properties;Hellfire Amulet (Strength);Amulet;A;;
MAGIC;+5 Random Magic Properties;Hellfire Ring;Ring;A;;
MAGIC;+3 Random Magic Properties;Hellrack;Crossbow;W;;
MAGIC;+4 Random Magic Properties;Hellskull (Crusader);Crusader Shield;A;;
MAGIC;+4 Random Magic Properties;Helltooth Gauntlets (Witch Doctor);Gloves;A;;
MAGIC;+4 Random Magic Properties;Helltooth Greaves (Witch Doctor);Boots;A;;
MAGIC;+4 Random Magic Properties;Helltooth Leg Guards (Witch Doctor);Pants;A;;
MAGIC;+4 Random Magic Properties;Helltooth Mantle (Witch Doctor);Shoulders;A;;
MAGIC;+4 Random Magic Properties;Helltooth Mask (Witch Doctor);Helm;A;;
MAGIC;+4 Random Magic Properties;Heart of the Crashing Wave (Monk);Chest Armor;A;;
MAGIC;+3 Random Magic Properties;Helltrapper (Demon Hunter) (Horadric Cache);Hand Crossbow;W;;
MAGIC;+4 Random Magic Properties;Helm of Akkhan (Crusader);Helm;A;;
MAGIC;+4 Random Magic Properties;Hexing Pants of Mr. Yan;Pants;A;;
MAGIC;+4 Random Magic Properties;Hillenbrand’s Training Sword (Season 1);Templar Relic;A;;
MAGIC;+3 Random Magic Properties;Holy Beacon;Amulet;A;;
MAGIC;+4 Random Magic Properties;Holy Point Shot (Demon Hunter);Quiver;A;;
MAGIC;+3 Random Magic Properties;Homing Pads;Shoulders;A;;
MAGIC;+2 Random Magic Properties;Homunculus (Witch Doctor);Mojo;A;;
MAGIC;+3 Random Magic Properties;Hwoj Wrap;Belt;A;;
MAGIC;+3 Random Magic Properties;Ice Climbers;Boots;A;;
MAGIC;+2 Random Magic Properties;Illusory Boots (Horadric Cache);Boots;A;;
MAGIC;+3 Random Magic Properties;Immortal King's Boulder Breaker (Barbarian);Mighty Weapon 2H;W;;
MAGIC;+4 Random Magic Properties;Helltooth Tunic (Witch Doctor);Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Immortal King's Irons;Gloves;A;;
MAGIC;+4 Random Magic Properties;Immortal King's Stride;Boots;A;;
MAGIC;+3 Random Magic Properties;Immortal King's Tribal Binding (Barbarian);Mighty Belt;A;;
MAGIC;+4 Random Magic Properties;Immortal King's Triumph;Helm;A;;
MAGIC;+3 Random Magic Properties;Incense Torch of the Grand Temple (Monk);Daibo;W;;
MAGIC;+4 Random Magic Properties;Inna's Favor;Belt;A;;
MAGIC;+4 Random Magic Properties;Inna's Radiance (Monk);Spirit Stone;A;;
MAGIC;+3 Random Magic Properties;Inna's Reach (Monk);Daibo;W;;
MAGIC;+4 Random Magic Properties;Inna's Temperance;Pants;A;;
MAGIC;+4 Random Magic Properties;Immortal King's Eternal Reign;Chest Armor;A;;
MAGIC;+2 Random Magic Properties;Insatiable Belt (Horadric Cache);Belt;A;;
MAGIC;+3 Random Magic Properties;Inviolable Faith (Crusader);Flail;W;;
MAGIC;+3 Random Magic Properties;Irontoe Mudsputters;Boots;A;;
MAGIC;+3 Random Magic Properties;Ivory Tower;Shield;A;;
MAGIC;+3 Random Magic Properties;Izzuccob (Demon Hunter);Hand Crossbow;W;;
MAGIC;+3 Random Magic Properties;Jace's Hammer of Vigilance;Mace;W;;
MAGIC;+4 Random Magic Properties;Jade Harvester's Courage;Pants;A;;
MAGIC;+4 Random Magic Properties;Jade Harvester's Joy;Shoulders;A;;
MAGIC;+4 Random Magic Properties;Jade Harvester's Mercy;Gloves;A;;
MAGIC;+4 Random Magic Properties;Inna's Vast Expanse;Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Jade Harvester's Swiftness;Boots;A;;
MAGIC;+4 Random Magic Properties;Jade Harvester's Wisdom;Helm;A;;
MAGIC;+4 Random Magic Properties;Jang's Envelopment;Belt;A;;
MAGIC;+3 Random Magic Properties;Jawbreaker (Monk);Fist Weapon;W;;
MAGIC;+4 Random Magic Properties;Jekangbord (Crusader);Crusader Shield;A;;
MAGIC;+3 Random Magic Properties;Justice Lantern;Ring;A;;
MAGIC;+3 Random Magic Properties;Justinian's Mercy (Crusader);Flail;W;;
MAGIC;+3 Random Magic Properties;Kassar's Retribution (Crusader);Flail;W;;
MAGIC;+3 Random Magic Properties;Kekegi's Unbreakable Spirit (Monk);Spirit Stone;A;;
MAGIC;+6 Random Magic Properties;Kethryes' Splint;Bracers;A;;
MAGIC;+4 Random Magic Properties;Kill;Dagger;W;;
MAGIC;+2 Random Magic Properties;K'Mar Tenclip (Demon Hunter);Hand Crossbow;W;;
MAGIC;+4 Random Magic Properties;Kotuur's Brace (Barbarian);Mighty Belt;A;;
MAGIC;+4 Random Magic Properties;Krede's Flame;Ring;A;;
MAGIC;+4 Random Magic Properties;Krelm's Buff Belt (Season 1);Belt;A;;
MAGIC;+4 Random Magic Properties;Krelm's Buff Bracers (Season 1);Bracers;A;;
MAGIC;+2 Random Magic Properties;Kridershot;Bow;W;;
MAGIC;+3 Random Magic Properties;Kymbo's Gold;Amulet;A;;
MAGIC;+3 Random Magic Properties;Lacuni Prowlers;Bracers;A;;
MAGIC;+5 Random Magic Properties;Lai Yui Persuader (Monk);Daibo;W;;
MAGIC;+4 Random Magic Properties;Lamentation (Barbarian);Mighty Belt;A;;
MAGIC;+3 Random Magic Properties;Last Breath (Witch Doctor);Ceremonial Knife;W;;
MAGIC;+3 Random Magic Properties;Leonine Bow of Hashir (Season 1);Bow;W;;
MAGIC;+3 Random Magic Properties;Leoric's Crown;Helm;A;;
MAGIC;+3 Random Magic Properties;Leoric's Signet;Ring;A;;
MAGIC;+3 Random Magic Properties;Lidless Wall;Shield;A;;
MAGIC;+3 Random Magic Properties;Light of Grace (Wizard);Source;A;;
MAGIC;+4 Random Magic Properties;Litany of the Undaunted;Ring;A;;
MAGIC;+4 Random Magic Properties;Little Rogue;Sword;W;;
MAGIC;+5 Random Magic Properties;Living Umbral Oath (Witch Doctor);Ceremonial Knife;W;;
MAGIC;+3 Random Magic Properties;Logan's Claw (Monk);Fist Weapon;W;;
MAGIC;+4 Random Magic Properties;Lut Socks;Boots;A;;
MAGIC;+2 Random Magic Properties;Mad Monarch's Scepter (Horadric Cache);Mace;W;;
MAGIC;+3 Random Magic Properties;Madawc's Sorrow (Barbarian);Mighty Weapon 2H;W;;
MAGIC;+4 Random Magic Properties;Madstone (Monk);Spirit Stone;A;;
MAGIC;+3 Random Magic Properties;Magefist;Gloves;A;;
MAGIC;+3 Random Magic Properties;Maloth's Focus;Staff;W;;
MAGIC;+4 Random Magic Properties;Manajuma's Carving Knife (Witch Doctor);Ceremonial Knife;W;;
MAGIC;+4 Random Magic Properties;Manajuma's Gory Fetch (Witch Doctor);Mojo;A;;
MAGIC;+4 Random Magic Properties;Manald Heal;Ring;A;;
MAGIC;+3 Random Magic Properties;Manticore;Crossbow;W;;
MAGIC;+4 Random Magic Properties;Jade Harvester's Peace;Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Mantle of the Upside-Down Sinners (Monk);Shoulders;A;;
MAGIC;+3 Random Magic Properties;Mara's Kaleidoscope;Amulet;A;;
MAGIC;+6 Random Magic Properties;Mantle of the Rydraelm;Chest Armor;A;;
MAGIC;+4 Random Magic Properties;Marauder's Encasement (Demon Hunter);Pants;A;;
MAGIC;+4 Random Magic Properties;Marauder's Gloves (Demon Hunter);Gloves;A;;
MAGIC;+4 Random Magic Properties;Marauder's Spines (Demon Hunter);Shoulders;A;;
MAGIC;+4 Random Magic Properties;Marauder's Treads (Demon Hunter);Boots;A;;
MAGIC;+4 Random Magic Properties;Marauder's Visage (Demon Hunter);Helm;A;;
MAGIC;+5 Random Magic Properties;Mark of the Magi;Staff;W;;
MAGIC;+3 Random Magic Properties;Mask of Jeram (Witch Doctor);Voodoo Mask;A;;
MAGIC;+4 Random Magic Properties;Mask of the Searing Sky (Monk);Helm;A;;
MAGIC;+2 Random Magic Properties;Maximus;Sword 2H;W;;
MAGIC;+2 Random Magic Properties;Mempo of Twilight;Helm;A;;
MAGIC;+3 Random Magic Properties;Messerschmidt's Reaver;Axe 2H;W;;
MAGIC;+4 Random Magic Properties;Meticulous Bolts (Demon Hunter);Quiver;A;;
MAGIC;+3 Random Magic Properties;Mirrorball (Wizard);Source;A;;
MAGIC;+4 Random Magic Properties;Monster Hunter;Sword;W;;
MAGIC;+3 Random Magic Properties;Moonlight Ward;Amulet;A;;
MAGIC;+3 Random Magic Properties;Myken's Ball of Hate (Wizard);Source;A;;
MAGIC;+3 Random Magic Properties;Nagelring;Ring;A;;
MAGIC;+3 Random Magic Properties;Nailbiter;Mace;W;;
MAGIC;+4 Random Magic Properties;Natalya's Bloody Footprints;Boots;A;;
MAGIC;+4 Random Magic Properties;Natalya's Embrace (Demon Hunter);Cloak;A;;
